127.0.0.1 - - [06/Apr/2024:09:51:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Apr/2024:09:51:35 +0530] "GET /Program/Addition.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [06/Apr/2024:09:52:11 +0530] "GET /Program/Addition.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [06/Apr/2024:09:52:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:00:10 +0530] "GET /Program/Addition.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:13:59 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:15:55 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:16:34 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:16:36 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:17:23 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:17:50 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:18:09 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:18:51 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:19:16 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [06/Apr/2024:10:19:47 +0530] "GET /Program/Add.jsp HTTP/1.1" 200 514
